epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
54,2971.07,0.73063,0.72593,1.37935,0.01887,0.83882,0.67762,0.74775,0.5887,0.56713,0.5143,1.34448,0.01556,0.006502,0.006502,0.006502
55,3023.39,0.7277,0.72401,1.3733,0.01889,0.84285,0.68801,0.75103,0.58861,0.56888,0.51953,1.34392,0.0167,0.006436,0.006436,0.006436
56,3081.15,0.73243,0.72999,1.3794,0.0197,0.85163,0.6812,0.75228,0.58949,0.57552,0.52516,1.34473,0.01618,0.00637,0.00637,0.00637
57,3146.38,0.73548,0.72908,1.3782,0.0185,0.84105,0.68293,0.74301,0.5886,0.57084,0.51698,1.35325,0.01575,0.006304,0.006304,0.006304
58,3211.09,0.71958,0.71846,1.37045,0.01774,0.84535,0.68213,0.75218,0.58961,0.56347,0.50266,1.33552,0.01509,0.006238,0.006238,0.006238
59,3285.05,0.72656,0.71163,1.36491,0.0176,0.85256,0.68832,0.75037,0.59062,0.56738,0.50766,1.34206,0.016,0.006172,0.006172,0.006172
60,3348.59,0.71456,0.6937,1.36235,0.01805,0.82141,0.69304,0.75192,0.59353,0.56339,0.50522,1.33603,0.01568,0.006106,0.006106,0.006106
61,3411.32,0.72358,0.70055,1.36719,0.01799,0.84627,0.69543,0.76411,0.60466,0.55691,0.50513,1.33077,0.01598,0.00604,0.00604,0.00604
62,3474.91,0.70909,0.69162,1.35175,0.01836,0.84416,0.69874,0.75658,0.59853,0.55489,0.48801,1.32404,0.01488,0.005974,0.005974,0.005974
63,3548.2,0.7012,0.68377,1.35205,0.01782,0.8647,0.67853,0.75552,0.59807,0.55771,0.50478,1.32858,0.01531,0.005908,0.005908,0.005908
64,3619.77,0.703,0.68069,1.34914,0.0176,0.83566,0.7073,0.76716,0.60476,0.5496,0.50123,1.31821,0.01514,0.005842,0.005842,0.005842
65,3689.87,0.69898,0.67527,1.34828,0.01688,0.80286,0.72106,0.76334,0.6027,0.55668,0.49744,1.32651,0.01636,0.005776,0.005776,0.005776
66,3757.41,0.709,0.68588,1.35505,0.0173,0.84248,0.70182,0.7562,0.59978,0.54954,0.48711,1.32499,0.01552,0.00571,0.00571,0.00571
67,3822.5,0.70462,0.68062,1.35161,0.01793,0.85678,0.70708,0.76924,0.61202,0.54686,0.48029,1.32705,0.01491,0.005644,0.005644,0.005644
68,3887.66,0.6914,0.67026,1.3406,0.01685,0.86113,0.70812,0.77111,0.61471,0.53798,0.47454,1.30708,0.01619,0.005578,0.005578,0.005578
69,3952.86,0.69738,0.67323,1.34813,0.01826,0.85968,0.70991,0.76957,0.60731,0.55285,0.47561,1.32159,0.01603,0.005512,0.005512,0.005512
70,4018.81,0.69013,0.66812,1.34313,0.01601,0.82237,0.72157,0.76995,0.61001,0.54413,0.48134,1.3118,0.01544,0.005446,0.005446,0.005446
71,4084.71,0.69457,0.65633,1.34056,0.01716,0.84963,0.69769,0.76349,0.60642,0.53898,0.47941,1.3023,0.01401,0.00538,0.00538,0.00538
72,4151.31,0.69406,0.65692,1.33284,0.01797,0.86298,0.69851,0.76843,0.60896,0.53908,0.47334,1.30339,0.01331,0.005314,0.005314,0.005314
73,4217.42,0.69011,0.6576,1.33988,0.01625,0.84117,0.70585,0.76523,0.60655,0.5452,0.47493,1.30952,0.01547,0.005248,0.005248,0.005248
74,4284.04,0.68788,0.66089,1.33388,0.01667,0.84901,0.69928,0.76416,0.60778,0.54682,0.46652,1.31978,0.0136,0.005182,0.005182,0.005182
