epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
49,2615.85,0.69603,0.65121,1.35008,0.01904,0.88775,0.85566,0.91551,0.7774,0.53796,0.46808,1.36807,0.01471,0.00352037,0.00352037,0.00352037
50,2668.76,0.68833,0.6454,1.33953,0.01812,0.89373,0.86836,0.91886,0.78434,0.52275,0.45439,1.35014,0.01224,0.00333672,0.00333672,0.00333672
51,2721.65,0.67482,0.64032,1.3311,0.01807,0.91808,0.84293,0.91434,0.78093,0.52818,0.44842,1.34192,0.01428,0.00315572,0.00315572,0.00315572
52,2774.39,0.6884,0.63591,1.34613,0.02057,0.90123,0.85424,0.91828,0.78193,0.52333,0.45147,1.34801,0.01314,0.00297763,0.00297763,0.00297763
53,2826.81,0.67835,0.62854,1.33051,0.0182,0.90438,0.85717,0.91678,0.78198,0.52,0.43924,1.33451,0.01386,0.00280275,0.00280275,0.00280275
54,2879.32,0.6965,0.65329,1.34697,0.01907,0.90165,0.85547,0.91892,0.78195,0.51702,0.45206,1.33173,0.01288,0.00263132,0.00263132,0.00263132
55,2932.16,0.6837,0.63239,1.33371,0.01935,0.89944,0.86726,0.92222,0.79096,0.50723,0.44486,1.33184,0.01268,0.00246363,0.00246363,0.00246363
56,2984.9,0.6661,0.61024,1.31678,0.01742,0.90713,0.86143,0.92295,0.79038,0.51301,0.4374,1.33757,0.01289,0.00229993,0.00229993,0.00229993
57,3037.64,0.66249,0.60253,1.31628,0.01814,0.90412,0.8603,0.92227,0.79072,0.50892,0.43438,1.3241,0.01304,0.00214046,0.00214046,0.00214046
58,3090.23,0.66545,0.61248,1.31435,0.01793,0.90574,0.86471,0.92167,0.78947,0.50617,0.41948,1.31883,0.01176,0.00198548,0.00198548,0.00198548
59,3142.79,0.6575,0.5908,1.31541,0.01516,0.91945,0.84851,0.92,0.79053,0.51046,0.42593,1.32238,0.01156,0.00183523,0.00183523,0.00183523
60,3195.42,0.6605,0.59319,1.31543,0.01748,0.91007,0.86776,0.92356,0.79538,0.50312,0.42328,1.31145,0.01238,0.00168994,0.00168994,0.00168994
61,3248.05,0.64394,0.58009,1.30253,0.01624,0.91012,0.86709,0.92088,0.79504,0.50375,0.41906,1.31463,0.01292,0.00154982,0.00154982,0.00154982
62,3300.82,0.64212,0.57479,1.29295,0.01626,0.91303,0.85965,0.92499,0.79486,0.49952,0.41992,1.31848,0.0117,0.0014151,0.0014151,0.0014151
63,3353.79,0.64535,0.58282,1.29508,0.01575,0.90583,0.87395,0.92072,0.79466,0.4947,0.41898,1.30129,0.01192,0.00128599,0.00128599,0.00128599
64,3406.85,0.64835,0.58296,1.29963,0.01746,0.91291,0.87025,0.92658,0.79872,0.49534,0.41454,1.30663,0.01163,0.00116268,0.00116268,0.00116268
65,3459.57,0.63486,0.5733,1.29164,0.01695,0.91705,0.86685,0.92637,0.79998,0.49149,0.41282,1.29472,0.01187,0.00104537,0.00104537,0.00104537
66,3512.37,0.64014,0.57187,1.29201,0.01666,0.91461,0.86677,0.92252,0.79829,0.49198,0.40868,1.30058,0.01111,0.000934225,0.000934225,0.000934225
